epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,252.139,2.50545,4.90753,2.27985,0.00637,0.02976,0.0043,0.0019,2.78056,4.7229,2.49573,8.004e-05,8.004e-05,8.004e-05
2,470.921,2.28734,3.75934,2.05968,0.25579,0.01099,0.00184,0.00055,2.90224,6.01825,2.44013,0.000165099,0.000165099,0.000165099
3,691.913,2.32464,3.67106,2.05058,0.01199,0.02839,0.00402,0.00084,3.03826,11.7186,2.7522,0.000248441,0.000248441,0.000248441
4,910.523,2.14333,3.4411,1.94486,0.01102,0.15586,0.00638,0.00161,3.31727,18.3954,2.91772,0.000330067,0.000330067,0.000330067
5,1129.24,2.17826,3.3942,1.96577,0.0065,0.07747,0.00302,0.00085,2.85416,26.8328,2.65706,0.000409976,0.000409976,0.000409976
6,1347.75,2.15028,3.1929,1.81166,0.00556,0.11081,0.00533,0.00136,2.79101,34.1231,2.7962,0.000488167,0.000488167,0.000488167
7,1554.78,2.18273,3.56673,2.00926,0.01637,0.05723,0.00611,0.00198,2.78209,9.61259,2.78014,0.000564642,0.000564642,0.000564642
8,1758.38,2.2625,3.26074,2.00185,0.01062,0.08196,0.01125,0.00231,2.88877,73.5901,2.98568,0.000620777,0.000620777,0.000620777
9,1963.08,2.16636,3.23339,1.97872,0.0048,0.02427,0.00268,0.00083,3.44724,63.9363,6.53592,0.000614174,0.000614174,0.000614174
10,2168.13,2.09993,3.49187,1.93031,0.50548,0.01603,0.0014,0.0006,3.57034,208.408,7.43954,0.00060757,0.00060757,0.00060757
11,2370.84,2.0755,3.08334,1.97641,0.50233,0.00824,0.0007,0.00019,3.40544,140.465,4.09811,0.000600967,0.000600967,0.000600967
12,2572.65,2.01684,2.92546,1.90391,0.5168,0.06374,0.00634,0.00402,3.00548,51.6433,3.53328,0.000594364,0.000594364,0.000594364
13,2774.33,1.99886,2.70779,1.89041,0.06075,0.05962,0.0157,0.01126,2.82859,13.6445,3.21114,0.00058776,0.00058776,0.00058776
14,2977.62,2.07145,2.70789,1.93889,0.28561,0.05,0.05028,0.03959,2.81974,7.79976,3.19483,0.000581157,0.000581157,0.000581157
15,3181.98,2.01363,2.83801,1.93599,0.27361,0.05549,0.00883,0.00343,2.87261,4.90094,3.04843,0.000574554,0.000574554,0.000574554
16,3384.4,1.92074,2.51576,1.86456,0.00964,0.07473,0.00641,0.00202,3.03269,5.66328,2.98368,0.00056795,0.00056795,0.00056795
17,3587.34,1.92258,2.54908,1.88347,0.00922,0.0633,0.00556,0.00183,2.98597,4.46722,2.72838,0.000561347,0.000561347,0.000561347
18,3804.56,1.88323,2.52773,1.84267,0.04675,0.04075,0.01798,0.0031,2.94928,4.63069,2.67806,0.000554744,0.000554744,0.000554744
19,4010.36,1.869,2.53937,1.77285,0.0073,0.17592,0.01025,0.00257,2.74427,5.44746,2.77195,0.000548141,0.000548141,0.000548141
