epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.6122,2.68523,5.0173,2.29423,0.00613,0.19226,0.00701,0.00332,3.03817,4.47046,2.27456,0.00016008,0.00016008,0.00016008
2,60.2772,2.62325,4.58906,2.15748,0.00569,0.1886,0.00452,0.00181,3.04284,4.45677,2.20759,0.000320359,0.000320359,0.000320359
3,90.3589,2.40284,4.46725,2.07805,0.00599,0.15325,0.00426,0.00115,3.00822,4.44961,2.21821,0.000474034,0.000474034,0.000474034
4,121.742,2.56397,4.50313,1.99075,0.00555,0.15188,0.00399,0.00122,3.04525,4.46499,2.3011,0.000621106,0.000621106,0.000621106
5,152.752,2.39223,4.15203,1.93951,0.00616,0.1386,0.00591,0.00171,2.94151,4.4371,2.30318,0.000614174,0.000614174,0.000614174
6,183.637,2.50811,4.19363,1.96582,0.00672,0.08846,0.00469,0.00156,2.90397,4.37573,2.27277,0.000600967,0.000600967,0.000600967
7,215,2.39421,4.0463,1.95455,0.00654,0.14121,0.0047,0.00175,2.81455,4.36227,2.2531,0.00058776,0.00058776,0.00058776
8,246.477,2.35191,3.99085,1.92243,0.00717,0.10998,0.00586,0.00221,2.79277,4.04803,2.2038,0.000574554,0.000574554,0.000574554
9,277.686,2.27522,3.9453,1.88499,0.51708,0.01236,0.00659,0.0023,2.72107,4.04676,2.14292,0.000561347,0.000561347,0.000561347
10,308.32,2.26715,3.77493,1.86571,0.00707,0.27784,0.00897,0.00353,2.72775,4.05922,2.11972,0.000548141,0.000548141,0.000548141
11,339.268,2.22723,3.68112,1.79789,0.50723,0.03022,0.00825,0.00335,2.76301,4.00784,2.14012,0.000534934,0.000534934,0.000534934
12,370.743,2.1934,3.79828,1.77313,0.78253,0.00824,0.00935,0.00277,2.81409,3.987,2.23183,0.000521727,0.000521727,0.000521727
13,401.909,2.20821,3.44485,1.71376,0.77572,0.00824,0.00849,0.0025,2.78989,4.08219,2.26008,0.000508521,0.000508521,0.000508521
14,432.779,2.21088,3.55786,1.75852,0.28674,0.00824,0.00839,0.0024,2.70131,4.05604,2.21237,0.000495314,0.000495314,0.000495314
15,464.159,2.15483,4.38421,1.88163,0.51197,0.00962,0.00404,0.00168,2.66,4.03921,2.21638,0.000482108,0.000482108,0.000482108
16,495.258,2.17835,3.41805,1.83213,0.51804,0.00412,0.00463,0.00181,2.66859,4.09898,2.23992,0.000468901,0.000468901,0.000468901
17,526.937,2.12487,3.28136,1.77752,0.26356,0.06511,0.00567,0.0019,2.56366,4.13456,2.15577,0.000455694,0.000455694,0.000455694
18,558.376,2.11626,3.26793,1.78002,0.26067,0.06374,0.0087,0.00275,2.6155,4.17876,2.15458,0.000442488,0.000442488,0.000442488
19,589.742,2.1446,3.15707,1.73433,0.25617,0.07885,0.00879,0.00253,2.77627,4.16398,2.16719,0.000429281,0.000429281,0.000429281
20,621.277,2.14655,3.73293,1.74556,0.27678,0.00824,0.00585,0.00186,2.79049,4.34278,2.16022,0.000416075,0.000416075,0.000416075
21,652.686,2.08611,3.23096,1.69504,0.25715,0.06786,0.00559,0.00203,2.63476,4.1702,2.04275,0.000402868,0.000402868,0.000402868
22,683.824,2.05234,3.12684,1.74384,0.01089,0.20861,0.00716,0.0019,2.65055,3.95786,2.08322,0.000389661,0.000389661,0.000389661
23,715.205,2.0011,3.1657,1.66062,0.00636,0.19524,0.00789,0.00218,2.65991,3.90101,2.09702,0.000376455,0.000376455,0.000376455
24,746.317,2.0594,2.99808,1.68066,0.02122,0.02839,0.01009,0.00297,2.67728,3.88659,2.14172,0.000363248,0.000363248,0.000363248
25,777.56,1.89966,3.37496,1.66603,0.0347,0.02289,0.01165,0.00322,2.6304,3.91156,2.1289,0.000350042,0.000350042,0.000350042
26,809.224,1.99208,2.98002,1.72732,0.03604,0.0467,0.01435,0.00352,2.60861,3.97857,2.13398,0.000336835,0.000336835,0.000336835
27,840.303,2.01425,3.12987,1.72248,0.04161,0.04121,0.01428,0.00377,2.60297,3.9377,2.11269,0.000323628,0.000323628,0.000323628
28,871.618,1.94352,3.35745,1.66893,0.05477,0.04533,0.01594,0.0045,2.70815,4.00317,2.13196,0.000310422,0.000310422,0.000310422
29,902.392,2.0938,3.22232,1.74423,0.0597,0.03342,0.02239,0.00668,2.71744,4.021,2.13126,0.000297215,0.000297215,0.000297215
30,933.826,2.03995,3.2372,1.7185,0.04717,0.04396,0.01627,0.00474,2.71983,3.8313,2.13425,0.000284009,0.000284009,0.000284009
31,964.964,2.05637,3.02,1.65805,0.03423,0.04533,0.01197,0.00324,2.72732,3.82277,2.20513,0.000270802,0.000270802,0.000270802
32,996.115,1.93579,3.10819,1.71136,0.04621,0.04396,0.01011,0.00327,2.74804,3.82946,2.23312,0.000257595,0.000257595,0.000257595
33,1026.79,1.91597,2.83204,1.65631,0.01932,0.06044,0.0106,0.00305,2.74964,3.83583,2.23324,0.000244389,0.000244389,0.000244389
34,1057.81,1.92719,2.90618,1.64745,0.02827,0.0696,0.01445,0.00323,2.74834,3.84925,2.20512,0.000231182,0.000231182,0.000231182
35,1088.86,1.90849,2.77839,1.59219,0.04473,0.05449,0.01368,0.00348,2.68364,3.86764,2.17623,0.000217976,0.000217976,0.000217976
36,1120.53,1.9689,3.01865,1.68367,0.03914,0.03846,0.01385,0.00418,2.68092,3.80048,2.14896,0.000204769,0.000204769,0.000204769
37,1151.57,1.88741,3.03263,1.67794,0.06501,0.04533,0.0146,0.00451,2.61595,3.71401,2.05421,0.000191562,0.000191562,0.000191562
38,1182.66,1.88979,2.93609,1.6234,0.05177,0.04396,0.01376,0.00485,2.60972,3.78278,2.04922,0.000178356,0.000178356,0.000178356
39,1213.86,1.80461,4.91387,1.55319,0.04645,0.04106,0.01376,0.005,2.61998,3.80336,2.05363,0.000165149,0.000165149,0.000165149
40,1244.39,1.82305,4.45767,1.52378,0.02742,0.03846,0.01288,0.0045,2.65694,3.81546,2.07111,0.000151943,0.000151943,0.000151943
41,1275.95,2.01345,5.84591,1.74517,0.0501,0.02965,0.01471,0.00497,2.65531,3.83015,2.04618,0.000138736,0.000138736,0.000138736
42,1307.18,1.86963,5.85986,1.62545,0.05143,0.02289,0.0126,0.00359,2.65005,3.94603,2.03448,0.000125529,0.000125529,0.000125529
43,1338.93,1.80457,5.05896,1.55166,0.01845,0.13837,0.01173,0.00388,2.64869,3.97069,2.02125,0.000112323,0.000112323,0.000112323
44,1370.22,1.84167,5.7571,1.55459,0.02329,0.09167,0.01233,0.00412,2.62006,3.86828,2.02127,9.91162e-05,9.91162e-05,9.91162e-05
45,1401.4,1.98056,3.59013,1.70198,0.02239,0.04029,0.01159,0.00449,2.61931,3.85172,2.02583,8.59096e-05,8.59096e-05,8.59096e-05
46,1432.56,1.87473,4.10274,1.70805,0.02097,0.10632,0.011,0.00387,2.58485,3.80142,2.03715,7.2703e-05,7.2703e-05,7.2703e-05
47,1464.15,1.74308,4.87819,1.56018,0.01385,0.16868,0.01071,0.00364,2.58135,3.75968,2.03683,5.94964e-05,5.94964e-05,5.94964e-05
48,1495.44,1.79045,4.81108,1.5697,0.01797,0.12097,0.01072,0.00356,2.59058,3.76981,2.04127,4.62898e-05,4.62898e-05,4.62898e-05
49,1526.78,1.68244,4.28091,1.52789,0.01622,0.01603,0.01015,0.0037,2.59659,3.7726,2.05665,3.30832e-05,3.30832e-05,3.30832e-05
50,1558,1.89338,3.86934,1.67768,0.02794,0.01465,0.00988,0.0035,2.59441,3.75838,2.05905,1.98766e-05,1.98766e-05,1.98766e-05
